bioproject,study_title,n_samples,paper_pmid,paper_doi,paper_title,paper_abstract_excerpt,search_status
PRJDA61421,Rice rhizosphere metagenome,1,,,,,pending
PRJDB10381,Rhizosphere metagenomics of a pioneer plant Miscanthus condensatus colonizing on the recent Miyake-jima volcanic deposits,1,,,,,pending
PRJDB12268,Arabidopsis thaliana metagenomic sequencing,36,,,,,pending
PRJDB1801,Metagenome of Sugar beet associated microorganisms,3,,,,,pending
PRJDB19351,Metagenome information and system analysis of agricultural and fermented food environments (KAP220296),3,,,,,pending
PRJDB27060,metagenomes of domestic dogs (PRJCA012963),166,,,,,pending
PRJDB2986,Impact of sulfur fertilization on bacterial community associated with paddy rice root,3,,,,,pending
PRJDB38596,Metagenomic sequencing data of seafood samples (PRJCA037904),28,,,,,pending
PRJDB5626,Microbial metagenome analysis of soybean root nodules,8,,,,,pending
PRJDB6691,Identification of nitrogen-fixing Bradyrhizobium associated with roots of field-grown sorghum by metagenome analyses,6,,,,,pending
PRJEB102647,Soybean microbiome response to drought and recovery,39,,,,,pending
PRJEB105165,Root-associated microbiome in rice plants under flooded conditions,36,,,,,pending
PRJEB2041,,8,,,,,pending
PRJEB28009,,7,,,,,pending
PRJEB2821,Importance of rare bacterial taxa for microbial diversity in the maize rhizosphere,10,,,,,pending
PRJEB2917,Changes in Root Bacterial Communities Associated to Two Different Development Stages of Canola Evaluated through Next-Generation Sequencing Technology,1,,,,,pending
PRJEB29175,,3,,,,,pending
PRJEB30336,Differences between plant species in rhizosphere metatranscriptome function,82,,,,,pending
PRJEB31415,,12,,,,,pending
PRJEB35612,"In this study we assessed the effects of indirect exposure of antibiotics via irrigation water in microbiomes and resistomes composition of soil and Lactuca Sativa (Lettuce) in a controlled setting. We collected samples from soil and roots, and microbiome composition of all samples went through shotgun-sequencing.",3,,,,,pending
PRJEB37438,,5,,,,,pending
PRJEB40903,DNA extraction comparison testing 2019-2020,116,,,,,pending
PRJEB42789,,12,,,,,pending
PRJEB51329,Microbial communities of the Aral Sea,9,,,,,pending
PRJEB56450,Pervasive effect of dark septate fungi on tree root and soil microbiomes,52,,,,,pending
PRJEB57985,"Shotgun metagenomics approach to identify carbohydrate-active enzyme genes and to analyze taxonomic diversity from microbial communities of Menagesha Suba forest soil, Ethiopia. .",2,,,,,pending
PRJEB58067,Metagenomics approach for taxonomic classification and identification of biosynthetic gene-clusters from soil microbiome.,2,,,,,pending
PRJEB61641,,12,,,,,pending
PRJEB77048,,8,,,,,pending
PRJNA1000035,,1,,,,,pending
PRJNA1000189,,1,,,,,pending
PRJNA1000190,,1,,,,,pending
PRJNA1001274,,199,,,,,pending
PRJNA1001993,Soil metagenomes at different stages of grape growth.,105,,,,,pending
PRJNA1013255,The rhizosphere soil of Apium graveolens Linn Raw sequence reads,12,,,,,pending
PRJNA1014123,"Rhizosphere soil microbial communities from rice plants in Newark, Delaware, United States - Rhiz_9IH_GED metagenome",1,,,,,pending
PRJNA1014704,Microbiome of maize root compartments from an experiment with fertilization and cropping treatments in Northeast China,30,,,,,pending
PRJNA1014740,Cycad coralloid root microbial communities,34,,,,,pending
PRJNA1015279,"Microbial community composition in the soil, rhizosphere and nodule of common bean (Phaseolus vulgaris)",20,,,,,pending
PRJNA1015391,Drought potassium application microorganisms,24,,,,,pending
PRJNA1016115,Metagenomics analysis of microbial diversity of rhizosphere of basmati rice( Oryza sativa L.),6,,,,,pending
PRJNA1016491,Metagenomic data of rhizosphere soil methylation,4,,,,,pending
PRJNA1016570,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-904-Co3_16_51 endosphere metagenome",1,,,,,pending
PRJNA1016571,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-905-CL1_32_20 endosphere metagenome",1,,,,,pending
PRJNA1016572,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-11047-CL1_23_5 endosphere metagenome",1,,,,,pending
PRJNA1016573,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-11047-CL2_41_30 endosphere metagenome",1,,,,,pending
PRJNA1016574,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-4579-CL1_25_23 endosphere metagenome",1,,,,,pending
PRJNA1016575,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-4579-CL2_50_20 endosphere metagenome",1,,,,,pending
PRJNA1016576,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-4579-CL3_72_14 endosphere metagenome",1,,,,,pending
PRJNA1016577,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-4579-Co1_14_4 endosphere metagenome",1,,,,,pending
